SampleID,Actinomyces oris,Desulfomicrobium orale,Enterobacter hormaechei,Enterobacter kobei,Enterobacter ludwigii,Fusobacterium nucleatum,Haemophilus aegyptius,Haemophilus haemolyticus,Haemophilus influenzae,Haemophilus parahaemolyticus,Klebsiella oxytoca,Klebsiella pneumoniae,Lactobacillus paracasei,Leptotrichia wadei,Neisseria flavescens,Prevotella denticola,Prevotella intermedia,Prevotella jejuni,Proteus mirabilis,Pseudomonas aeruginosa,Rothia dentocariosa,Salmonella enterica,Serratia liquefaciens,Stenotrophomonas maltophilia,Streptococcus intermedius,Streptococcus oralis,Veillonella parvula
AL0002,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,1.9303544420229775,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,1.7968230493984547,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585,-0.1490870996568585
AL0003,1.1088466724704498,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,1.801993853030395,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,2.361609640965818,-0.277447688649441,-0.277447688649441,-0.277447688649441,-0.277447688649441,1.1088466724704498,-0.277447688649441,-0.277447688649441
AL0004,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,1.8074779409707415,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,-0.13843220808457168,1.653327261143483,-0.13843220808457168
CH0001,-0.5870299161263874,-2.532940065181701,-2.532940065181701,-2.532940065181701,-2.532940065181701,2.529654967845266,-2.532940065181701,1.9668696051485641,1.8615090894907378,4.257157170332204,-1.434327776513591,-0.9235021527476004,-2.532940065181701,1.9556963045504387,4.420744145688836,2.591023914221558,1.228260050511861,1.8365077872853206,-2.532940065181701,-0.048033415393700984,0.30027327887451527,-1.14664570406181,-2.532940065181701,-2.532940065181701,0.10611726443355796,2.523305740166607,1.358880232928926
CH0002,-1.8764842567245053,-2.5696314372844506,-1.4710191486163406,-2.5696314372844506,-2.5696314372844506,2.6177543685563043,-1.4710191486163406,2.2823988266351662,1.7208280038639403,3.291154786181415,-2.5696314372844506,-0.7778719680563961,-1.8764842567245053,2.511772927700012,5.2035422431980844,0.565862778644699,2.0650975509451848,2.074759461856922,-2.5696314372844506,-1.4710191486163406,0.13841876381775897,-0.37240685994823153,-1.8764842567245053,-0.17173616448607998,-1.1833370761645599,3.296836619648846,-0.37240685994823153
CH0006,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,1.4560499187910905,-0.33570955043696493,0.7629027382311451,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,1.2737283619971356,1.0505848106829259,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,-0.33570955043696493,1.4560499187910905,-0.33570955043696493,-0.33570955043696493,1.0505848106829259
CH0012,-1.9854501218903584,-1.9854501218903584,-1.9854501218903584,-1.9854501218903584,-1.9854501218903584,-0.3760122094562588,-1.9854501218903584,1.9063701762202676,1.5110574395761214,4.804647113623545,-1.292302941330413,3.8045100490068946,-1.9854501218903584,-0.5991557607704685,0.9049216360058052,-1.9854501218903584,-0.1936906526623039,0.5794992355711779,-1.9854501218903584,7.126836309610436,-0.3760122094562588,-0.8868378332222493,-1.9854501218903584,-0.039539972835045845,0.2117744554458607,3.144448593032714,-0.3760122094562588
CH0016,1.0458525512705492,-1.787360792785667,-1.0942136122257216,-1.787360792785667,-1.787360792785667,-0.6887485041175578,-1.0942136122257216,3.371694506428862,3.2365197280606095,7.329657421959143,-0.6887485041175578,5.419758063422089,-1.787360792785667,-1.787360792785667,-1.787360792785667,-1.787360792785667,-1.787360792785667,-1.787360792785667,-1.787360792785667,-1.0942136122257216,0.9206894083165436,0.29208074889416924,0.8516965368295919,-1.787360792785667,-0.40106643166577616,1.7389997318304946,0.515224300208379
CH0018,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,2.7065328400970343,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,1.6079205514289248,-0.7899747213694459,-0.7899747213694459,0.8194631910646546,1.1559354276858675,-0.09682754080950051,1.0017847478586095,-0.7899747213694459,1.0017847478586095,-0.09682754080950051,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,-0.7899747213694459,6.119778560275364
CH0019,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,1.275341313951225,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,1.4984848652654348,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572,-0.11095304716866572
CH0020,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,1.2692518915455104,-0.3401860208885896,-0.3401860208885896,2.917910517132892,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,1.2692518915455104,1.2692518915455104,0.7584262677795199,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896,-0.3401860208885896
CH0022,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,2.065661772430483,-0.23692332056356236,-0.23692332056356236,0.8616889681045472,-0.23692332056356236,-0.23692332056356236,1.149371040556328,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,-0.23692332056356236,1.3725145918705377,-0.23692332056356236
CH0023,2.1100673099324623,-2.2074208036038483,-1.1088085149357383,-2.2074208036038483,-2.2074208036038483,2.0120869015722582,-2.2074208036038483,-1.1088085149357383,-0.5979828911697478,-2.2074208036038483,-2.2074208036038483,0.8836216497544678,-1.1088085149357383,2.511078067691246,-2.2074208036038483,1.403497109040376,1.2265664008812975,1.1937765780583067,-2.2074208036038483,3.3946980172758527,2.1363846182498354,-0.5979828911697478,-2.2074208036038483,0.737018175562592,0.8371016341195743,1.7438229149775788,4.199459182465466
CH0030,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,0.5347521391149068,-0.15839504144503858,-0.15839504144503858,0.5347521391149068,-0.15839504144503858,0.9402172472230714,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,0.9402172472230714,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,0.5347521391149068,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858,-0.15839504144503858
CH0035,2.049816315633881,-3.1092389835806475,-1.499801071146547,-3.1092389835806475,-3.1092389835806475,2.306861418623772,-3.1092389835806475,0.25805684640582616,-0.5442896261191112,-0.4011887824784379,-3.1092389835806475,2.0669107489931813,-3.1092389835806475,2.689853670879878,2.0206597313424255,3.375396252054604,5.007178089213557,1.412549593468393,-3.1092389835806475,0.674950650337613,1.9783573516517365,-1.0297974419008122,-2.416091803020702,-2.416091803020702,1.4959312024074434,3.8192988345840178,0.9161127071545012
CH0038,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,0.8788013925340494,-0.21981089613406013,-0.21981089613406013,1.5719485730939948,-0.21981089613406013,-0.21981089613406013,0.8788013925340494,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,-0.21981089613406013,1.7260992529212533,-0.21981089613406013
CH0039,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,1.7304615875751939,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,1.1708457996397712,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,0.4776986190798258,1.5763109077479354,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196,-0.2154485614801196
