"","Haemophilus_influenzae","Pseudomonas_aeruginosa","Haemophilus_aegyptius","Prevotella_jejuni","Leptotrichia_wadei","Proteus_mirabilis","Enterobacter_ludwigii","Haemophilus_parahaemolyticus","Klebsiella_pneumoniae","Streptococcus_oralis","Enterobacter_kobei","Haemophilus_haemolyticus","Actinomyces_oris","Klebsiella_oxytoca","Salmonella_enterica"
"DU0074",2.24028113331869,0.0658906215681968,0,0.636942675159236,0.109817702613661,0,0,0,0.153744783659126,10.3667911267296,0,0.285526026795519,1.31781243136394,0,0
"DU0063",33.5863697705803,0.0337381916329285,0.193994601889339,1.35796221322537,0.953103913630229,0,0,0.00843454790823212,0.0168690958164642,2.47975708502024,0,1.17240215924426,0.666329284750337,0,0.0253036437246964
"DU0007",3.22033898305085,3.89830508474576,0,2.71186440677966,0.677966101694915,0,0,4.74576271186441,2.3728813559322,1.1864406779661,0,1.01694915254237,0.508474576271186,0,0
"TBS385",25.9970457902511,0,0.0738552437223043,0.960118168389956,0.0738552437223043,0,0,0,0.51698670605613,2.58493353028065,0,0.221565731166913,0,0,0
"TBS396",88.0152963671128,0.0152963671128107,0.795411089866157,0.0305927342256214,0,0,0,0.0305927342256214,0,0.275334608030593,0,1.17782026768642,0.0152963671128107,0,0.0152963671128107
"TBS435",85.4614850798057,0,0.763358778625954,0,0,0,0,0,0.138792505204719,0.138792505204719,0,1.56141568355309,0.416377515614157,0,0.277585010409438
"TBS461",0.218579234972678,0,0,0.109289617486339,0,0,0,0,0,2.84153005464481,0,0.437158469945355,0,0,0.546448087431694
"TBS467",0.0657462195923734,0,0,0,0,0,0,0,0.142450142450142,2.69559500328731,0.0109577032653956,0,0.0438308130615823,0.0109577032653956,0.0328731097961867
"TBS672",1.58730158730159,0,0,0,0,0,0,0,2.22222222222222,1.58730158730159,0,0,0,0.952380952380952,0.952380952380952
"TTS1205",0.270489586150933,0.0540979172301866,0,2.13686773059237,1.24425209629429,0,0,0,0,2.59670002704896,0,0.0270489586150933,1.81228022721125,0,0.135244793075467
"TTS1330",85.4199683042789,0.118858954041204,0.752773375594295,0.118858954041204,0.118858954041204,0,0,0.0792393026941363,0.0792393026941363,0.237717908082409,0,2.6148969889065,0,0,0
"TTS1320",0.0445583156956667,0.0891166313913334,0,3.58694441350117,0.0111395789239167,0,0.0222791578478334,0.155954104934833,0.245070736326167,2.06082210092459,0,0.0445583156956667,0.211651999554417,0.144814526010917,0.178233262782667
"TBS006",1.42664353190669,0.00963948332369385,0,10.4202814729131,1.37844611528822,0,0,2.15924426450742,0.0385579332947754,1.60979371505687,0,1.83150183150183,0.221708116444959,0,0.0385579332947754
"TBS663",91.0499524528724,0.0111875594339095,0.839066957543212,0.00559377971695475,0.0503440174525927,0,0,0.00559377971695475,0.00559377971695475,0.246126307546009,0,1.38166359008782,0.0391564580186832,0,0.067125356603457
"TBS670",0.103425985778927,0.0452488687782805,0,0.161603102779573,0.0711053652230123,0,0,0,0.0193923723335488,2.81189398836458,0,0.0193923723335488,1.82288299935359,0,0.00646412411118294
"TTS1131",0.11463507833397,78.9453572793275,0,0,0,0,0,0,4.06954528085594,0.324799388612916,0,0.019105846388995,0.15284677111196,0,0.019105846388995
"TBS656",84.2660178426602,0.16220600162206,2.91970802919708,0,0,0,0,0,0,0,0,2.59529602595296,0,0,0
"TBS479",0.102354145342886,0.307062436028659,0,0,0,0,0,0,0.102354145342886,0.716479017400205,0,0,0,0,0.204708290685773
"TTS1272",0.382701875239189,0.0765403750478377,0,16.9536930730961,3.63566781477229,0,0,0.0765403750478377,0.114810562571757,3.86528893991581,0,0,0,0,0.0382701875239189
"TBS668",67.7075399847677,0,1.06626047220107,2.74181264280274,2.05635948210206,0,0,0,0,1.06626047220107,0,0.913937547600914,0.152322924600152,0,0.304645849200305
"TTS1263",20.2415181138585,0.115008625646924,1.09258194364577,0.690051753881541,1.26509488211616,0,0,0,0,2.41518113858539,0,1.9551466359977,0.0575043128234618,0,0.115008625646924
"TBS468",0.0839630562552477,56.0873215785055,0,0,0.00839630562552477,0.0503778337531486,0.00839630562552477,0.0167926112510495,4.76070528967254,0.117548278757347,0,0.00839630562552477,0.134340890008396,0.0167926112510495,0.125944584382872
"TBS671",0.424853956452469,0.318640467339352,0,0.424853956452469,0.265533722782793,0,0,0,3.9830058417419,1.59320233669676,0,0,0,0,0
"TBS002",0.354459095420389,0.879058556642563,0,0.0425350914504466,0.170140365801786,0,0.0141783638168155,0.25521054870268,0.326102367786757,3.95576350489154,0,0.0850701829008932,0.0708918190840777,0,0.396994186870835
"TTS1160",90.709773318469,0.111482720178372,0.873281308063917,0,0.0371609067261241,0,0,0,0,0.222965440356745,0,1.17056856187291,0,0,0.0929022668153103
"TTS1212",0.181620050853614,90.3741373047584,0,0,0.0363240101707228,0,0,0.108972030512169,5.5575735561206,0.108972030512169,0,0,0,0,0.0726480203414457
"TTS1106",0.017650692789692,0.097078810343306,0,0.555996822875298,0.591298208454682,0,0,0,0,8.59588738858,0,0.052952078369076,0.4412673197423,0,0.008825346394846
"TTS1108",0.314518871132268,0,0,0.943556613396804,12.85277116627,0,0,0.0425025501530092,0.212512750765046,1.78510710642639,0,0.204012240734444,0.952057123427406,0.00850051003060184,0.0255015300918055
"TTS1116",3.53535353535354,0.505050505050505,0,0,0,0,0,0,0,1.01010101010101,0,2.02020202020202,0,0,0
"TTS1122",76.1194029850746,0,0.565719788155994,0.987000481463649,0.0361097737120847,0,0,0.0120365912373616,0.0481463649494463,0.698122291766972,0,1.63697640828117,0,0,0.216658642272508
"IT338",0.0458715596330275,0.103211009174312,0,0,0,0,0,0.0114678899082569,0.0688073394495413,0.0573394495412844,0,0.0458715596330275,0,0,0.0688073394495413
"IT381",1.74688953123036,11.310795525952,0,0.45243182103808,0.314188764609778,0,0,9.08633907251477,0.326756315194169,0.276486112856604,0,8.21917808219178,0.0251351011687822,0,0.0377026517531733
"IT361",0.434634395772967,0,0,0.434634395772967,1.38912561786262,0,0,0.894835520709051,0.0767001874893472,1.67035963865689,0,0.98005795125277,0.247145048576785,0,0.0596557013806034
"IT148",0.218277066356228,90.162980209546,0,0.0582072176949942,0.0436554132712456,0.0145518044237485,0,0.0873108265424913,4.38009313154831,0.232828870779977,0,0.0145518044237485,0,0,0.0291036088474971
