,Class_average Accuracy,n_estimators,max_depth,min_samples_split,min_samples_leaf,training_Acc
0,0.6338103756708408,150,4,6,2,0.920917686021046
1,0.6454979129397734,150,4,7,2,0.919181667645959
2,0.6261776982707216,150,4,8,2,0.9172319854708615
3,0.6338700059630292,150,4,9,2,0.9146413118957318
4,0.645438282647585,150,4,10,2,0.9120239303456011
5,0.6415026833631485,150,4,11,2,0.9104214518455209
6,0.6338700059630292,150,4,6,3,0.9163239143208162
7,0.6415026833631485,150,4,7,3,0.9134127450456705
8,0.5953488372093023,150,4,8,3,0.9105549917205276
9,0.6376267143709005,150,4,9,3,0.9082313978954115
10,0.6299940369707812,150,4,10,3,0.9077506543453875
11,0.6259988073941563,150,4,11,3,0.9058810960952938
12,0.5991651759093619,150,4,6,4,0.9067090433203352
13,0.6145497912939774,150,4,7,4,0.9076171144703806
14,0.6338103756708408,150,4,8,4,0.9075102825703754
15,0.6491949910554562,150,4,9,4,0.9057208482452859
16,0.6183661299940371,150,4,10,4,0.9029432188451468
17,0.6453190220632081,150,4,11,4,0.9013674483200682
18,0.6260584376863447,150,4,6,5,0.8985631109449279
19,0.6531305903398927,150,4,7,5,0.8995513060199776
20,0.637567084078712,150,4,8,5,0.8989904385449493
21,0.6184257602862254,150,4,9,5,0.9003258372950161
22,0.6106738223017293,150,4,10,5,0.89960472196998
23,0.622242098986285,150,4,11,5,0.8981891992949091
24,0.6453786523553966,150,4,6,6,0.8919929490945995
25,0.6145497912939774,150,4,7,6,0.8908979221195448
26,0.6067978533094812,150,4,8,6,0.8913519576945673
27,0.6107334525939176,150,4,9,6,0.8916457454195821
28,0.6106738223017293,150,4,10,6,0.8920196570696008
29,0.6184257602862254,150,4,11,6,0.8915923294695794
30,0.6066785927251044,150,4,6,7,0.8843811762192189
31,0.614490161001789,150,4,7,7,0.8849687516692483
32,0.6106141920095409,150,4,8,7,0.886304150419315
33,0.6298747763864043,150,4,9,7,0.884220928369211
34,0.6068574836016696,150,4,10,7,0.8852358314192615
35,0.595169946332737,150,4,11,7,0.8861706105443082
36,0.6569469290399523,150,4,6,8,0.879226537043961
