,params,mean_train_Acc,mean_test_Acc
32,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.32687755102040816, 'n_estimators': 150}",0.7814102555054698,0.565240056088794
33,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.3370612244897959, 'n_estimators': 150}",0.7786228049014688,0.5726140537978431
34,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.3472448979591837, 'n_estimators': 150}",0.7638087827893411,0.5740168661373779
35,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.35742857142857143, 'n_estimators': 150}",0.7558267892589926,0.5661778646759095
36,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.3676122448979592, 'n_estimators': 150}",0.7602157833663317,0.57309485721057
37,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.37779591836734694, 'n_estimators': 150}",0.7572708205285474,0.5611277007544337
38,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.3879795918367347, 'n_estimators': 150}",0.7436128337424449,0.5679510803017734
39,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.39816326530612245, 'n_estimators': 150}",0.7391233848860967,0.5672032626298532
40,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.4083469387755102, 'n_estimators': 150}",0.7431168314019758,0.5733162499506259
41,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.41853061224489796, 'n_estimators': 150}",0.7320128449914094,0.5745591894774261
42,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.4287142857142857, 'n_estimators': 150}",0.7309350584026555,0.5769544179800135
43,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.43889795918367347, 'n_estimators': 150}",0.7333298303288331,0.5706811628549986
44,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.4490816326530612, 'n_estimators': 150}",0.7250745864080858,0.570033574278153
45,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.459265306122449, 'n_estimators': 150}",0.7167799892899593,0.5641550144171901
46,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.46944897959183673, 'n_estimators': 150}",0.7156112742852524,0.5717665007702334
47,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.4796326530612245, 'n_estimators': 150}",0.7163055503160187,0.5686491290437254
48,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.48981632653061224, 'n_estimators': 150}",0.714770591699804,0.5690240747323932
49,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.001, 'min_samples_split': 0.5, 'n_estimators': 150}",0.7075109934033165,0.5766320061618675
50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.001, 'n_estimators': 150}",1.0,0.5241265750286369
51,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.011183673469387756, 'n_estimators': 150}",1.0,0.5204526602678042
